address,insn,classification,evidence,reason
0x18003ea8d,49,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 49 instructions; cannot be decided from static refs
0x1800233e0,47,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 47 instructions; cannot be decided from static refs
0x180047500,47,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 47 instructions; cannot be decided from static refs
0x180005a2e,46,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 46 instructions; cannot be decided from static refs
0x18004802d,45,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 45 instructions; cannot be decided from static refs
0x180005e92,44,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 44 instructions; cannot be decided from static refs
0x180006290,42,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 42 instructions; cannot be decided from static refs
0x18003e400,40,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 40 instructions; cannot be decided from static refs
0x18003e570,40,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 40 instructions; cannot be decided from static refs
0x18003e6e0,40,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 40 instructions; cannot be decided from static refs
0x18003e850,40,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 40 instructions; cannot be decided from static refs
0x18003e9c0,40,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 40 instructions; cannot be decided from static refs
0x1800460d3,39,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 39 instructions; cannot be decided from static refs
0x180046f00,39,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 39 instructions; cannot be decided from static refs
0x1800483b0,35,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 35 instructions; cannot be decided from static refs
0x18004da00,35,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 35 instructions; cannot be decided from static refs
0x180001d20,33,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 33 instructions; cannot be decided from static refs
0x180047f83,33,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 33 instructions; cannot be decided from static refs
0x180018cc0,32,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 32 instructions; cannot be decided from static refs
0x180010460,30,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 30 instructions; cannot be decided from static refs
0x180044b80,30,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 30 instructions; cannot be decided from static refs
0x180023348,29,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 29 instructions; cannot be decided from static refs
