address,insn,name,class,evidence,action
0x18004ccf3,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18004ce40,146,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18004d830,102,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.683 (0x18005e330),"implement (plugin-owned, no rebuild match)"
0x18004da00,35,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.452 (0x180058680),"implement (plugin-owned, no rebuild match)"
0x18004dfa0,67,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.776 (0x18005ed20),"implement (plugin-owned, no rebuild match)"
0x18004fb6c,45,,ABSENT-LIBRARY,import KERNEL32.dll!GetTickCount64; import KERNEL32.dll!SleepConditionVariableSRW; import KERNEL32.dll!GetCurrentThreadId | prior=library | tier=library (unreached) | best cross-all ratio=0.000,"build-config / template-shape, not hand-written body"
0x1800519f0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.846 (0x180065356),needs manual adjudication
0x1800522c0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x1800633b0),needs manual adjudication
0x1800523c0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.923 (0x180062f20),needs manual adjudication
0x180052750,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x1800633b0),needs manual adjudication
0x180052e10,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x180063670),needs manual adjudication
0x180052e50,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x180063610),needs manual adjudication
0x180052e80,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x180063670),needs manual adjudication
0x180052f30,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.846 (0x180065880),needs manual adjudication
0x180052f70,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x180063ee0),needs manual adjudication
0x180052fe0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.846 (0x180062f20),needs manual adjudication
0x180053010,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.846 (0x180065330),needs manual adjudication
0x180053090,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x1800635e0),needs manual adjudication
0x1800530c0,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.889 (0x180063b20),needs manual adjudication
0x1800530f0,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.889 (0x180063b70),needs manual adjudication
0x180053120,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.923 (0x1800635e0),needs manual adjudication
0x180053150,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.923 (0x180063640),needs manual adjudication
0x1800532d0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.846 (0x180063700),needs manual adjudication
0x180053420,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.692 (0x180062f60),needs manual adjudication
0x1800534e0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.923 (0x180064e3c),needs manual adjudication
0x180053510,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.923 (0x180062f60),needs manual adjudication
0x180053b00,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x180063670),needs manual adjudication
0x180054540,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.889 (0x180065c00),needs manual adjudication
0x180054630,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.889 (0x180063b50),needs manual adjudication
0x1800546d0,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.889 (0x180065c00),needs manual adjudication
0x180054970,83,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.522 (0x180066320),needs manual adjudication
0x180054d30,10,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.667 (0x18004c970),needs manual adjudication
0x180054d70,4,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.500 (0x1800302b0),needs manual adjudication
0x180054d84,4,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180054d95,17,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180054ddc,7,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180054dfb,19,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!_invoke_watson | prior=library | tier=library (unreached) | best cross-all ratio=0.500 (0x18000bd60),"build-config / template-shape, not hand-written body"
0x180055090,20,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
