orig_addr,name,tier,orig_insn,our_insn,bytematch,insnratio,first_div,anchor
0x18002c460,,plugin,153,154,0,0.8795,90,callgraph
0x1800288f0,,library,20,21,0,0.8780,8,rtti
0x1800290d0,,library,20,21,0,0.8780,8,rtti
0x180005ef0,,library,172,169,0,0.8739,16,callgraph
0x180028940,,library,19,20,0,0.8718,8,rtti
0x180025bc0,,plugin,94,93,0,0.8663,0,callgraph
0x180014ce0,,plugin,68,66,0,0.8507,8,callgraph
0x180023b80,,library,34,39,0,0.8493,10,callgraph
0x180023070,,plugin,100,94,0,0.8454,0,rtti
0x18003d600,,library,70,70,0,0.8429,34,callgraph
0x18004eaf0,,library,71,69,0,0.8143,8,rtti
0x18003db70,,library,566,571,0,0.8056,0,callgraph
0x180005400,,library,113,119,0,0.8017,10,string
0x180005280,,library,113,112,0,0.8000,10,string
0x180038290,,plugin,5,5,0,0.8000,2,callgraph
0x1800382b0,,library,5,5,0,0.8000,2,callgraph
0x1800382c0,,plugin,5,5,0,0.8000,2,callgraph
0x180038ca0,,plugin,2,3,0,0.8000,1,callgraph
0x18004dd20,,library,60,60,0,0.8000,5,rtti
0x180051300,,library,6,4,0,0.8000,4,callgraph
0x180015c20,,plugin,310,348,0,0.7964,7,callgraph
0x1800457b0,,plugin,47,46,0,0.7957,0,callgraph
0x18001d8b0,unsigned __int64 __cdecl REL::IDDatabase::id2offset(unsigned __int64) const,library,111,112,0,0.7892,14,name
0x180029630,int __cdecl `anonymous-namespace'::Papyrus_BeginSceneSession(struct RE::StaticFunctionTag *),plugin,51,51,0,0.7843,6,alias
0x1800050f0,,library,115,115,0,0.7826,15,string
0x180044260,,plugin,29,33,0,0.7742,1,rtti
0x180016010,,plugin,132,160,0,0.7603,6,callgraph
0x1800194a0,,plugin,172,171,0,0.7580,11,callgraph
0x1800405d0,,library,51,50,0,0.7327,7,callgraph
0x1800181d0,,plugin,500,493,0,0.7311,14,callgraph
0x18001d650,,plugin,96,98,0,0.7216,7,callgraph
0x18000fb20,,plugin,102,104,0,0.7184,11,callgraph
0x18004e670,,plugin,57,60,0,0.7179,1,callgraph
0x18000ef60,,plugin,143,129,0,0.7059,2,callgraph
0x18002c890,,library,6,11,0,0.7059,0,rtti
0x180052b90,,library,17,17,0,0.7059,2,callgraph
0x180054b20,,library,17,17,0,0.7059,2,callgraph
0x1800399f0,,plugin,137,140,0,0.7004,19,callgraph
0x1800080d0,,plugin,393,369,0,0.6745,9,rtti
0x180040920,,plugin,1554,1503,0,0.6686,1,rtti
0x180014880,,plugin,41,37,0,0.6667,9,rtti
0x180017940,,plugin,3,3,0,0.6667,2,callgraph
0x180019840,,library,3,3,0,0.6667,2,string
0x180019860,,plugin,3,3,0,0.6667,2,string
0x1800198c0,,plugin,3,3,0,0.6667,2,string
0x180044510,,library,10,8,0,0.6667,0,callgraph
0x180042180,,plugin,1553,1506,0,0.6662,1,rtti
0x18002db01,,library,56,56,0,0.6607,9,callgraph
0x180044390,,plugin,43,42,0,0.6588,10,callgraph
0x18004d060,,library,34,30,0,0.6562,0,callgraph
0x180049000,,library,33,17,0,0.6400,8,rtti
0x180034280,"bool __cdecl REL::IDDatabase::load_csv(class std::basic_string_view<wchar_t,struct std::char_traits<wchar_t> >,class REL::Version,bool)",library,796,810,0,0.6364,20,name
0x18001d7d0,,plugin,59,48,0,0.6355,0,callgraph
0x18001bc40,,plugin,31,32,0,0.6349,4,callgraph
0x18004d430,,plugin,144,142,0,0.6294,5,callgraph
0x18001bbb0,,library,30,31,0,0.6230,4,callgraph
0x18000f1a0,,library,110,99,0,0.6220,1,callgraph
0x180011e10,,plugin,418,345,0,0.6212,4,string
0x18004e800,,library,150,153,0,0.6205,11,rtti
0x18001fde0,,library,368,237,0,0.6149,14,callgraph
0x1800476d0,,library,117,96,0,0.5915,0,rtti
0x180045cc0,,plugin,7,10,0,0.5882,1,callgraph
0x18004c360,,library,10,7,0,0.5882,1,rtti
0x18003d3a0,,plugin,171,167,0,0.5858,0,callgraph
0x18000e690,,plugin,135,135,0,0.5852,7,callgraph
0x18000e940,,plugin,135,135,0,0.5852,7,callgraph
0x180039890,,library,43,30,0,0.5753,1,rtti
0x18002bd20,"void __cdecl `anonymous-namespace'::Papyrus_SetSearchQuery(struct RE::StaticFunctionTag *,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)",plugin,86,86,0,0.5698,3,alias
0x180038db0,,library,81,88,0,0.5680,7,callgraph
0x180015ab0,,plugin,47,45,0,0.5652,7,callgraph
0x1800492a0,,library,53,23,0,0.5526,8,rtti
0x18004e4c0,,library,66,70,0,0.5441,2,rtti
0x180014a10,,plugin,185,183,0,0.5435,0,callgraph
0x18002dc00,,library,53,54,0,0.5421,8,callgraph
0x18003adee,,library,97,99,0,0.5408,0,callgraph
0x18000dd70,,plugin,135,132,0,0.5318,7,callgraph
0x18000e020,,plugin,145,135,0,0.5286,7,callgraph
0x18004bb90,,library,174,204,0,0.5238,0,rtti
0x18004a010,,library,23,23,0,0.5217,0,rtti
0x180020a60,,plugin,192,159,0,0.5014,0,callgraph
0x180016b20,,plugin,56,48,0,0.5000,6,callgraph
0x180021110,,plugin,112,133,0,0.4980,7,callgraph
0x180022130,,plugin,112,133,0,0.4980,7,callgraph
0x180021ec0,,plugin,127,148,0,0.4945,7,callgraph
0x1800227a0,,plugin,112,132,0,0.4918,7,callgraph
0x18002a9a0,"void __cdecl `anonymous-namespace'::Papyrus_PublishCompatible(struct RE::StaticFunctionTag *,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >)",plugin,312,277,0,0.4890,0,alias
0x180014920,,plugin,37,33,0,0.4857,4,callgraph
0x180022340,,plugin,117,138,0,0.4784,7,callgraph
0x18003fa40,,library,312,336,0,0.4784,22,callgraph
0x18004a0b0,,library,23,23,0,0.4783,0,rtti
0x18004a110,,library,23,23,0,0.4783,0,rtti
0x18003f150,,library,312,337,0,0.4777,22,callgraph
0x18000fd60,,library,21,17,0,0.4737,0,callgraph
0x1800151f0,,plugin,473,483,0,0.4728,12,rtti
0x180022570,,plugin,117,137,0,0.4724,7,callgraph
0x18004b0a0,,library,145,136,0,0.4698,0,rtti
0x180044ca0,,library,126,138,0,0.4697,0,callgraph
0x18003f5d0,,library,306,329,0,0.4693,21,callgraph
0x180046150,,library,267,270,0,0.4693,0,callgraph
0x180048830,,library,62,32,0,0.4681,6,rtti
0x1800229b0,,plugin,117,138,0,0.4627,7,callgraph
0x18003ece0,,library,306,330,0,0.4623,21,callgraph
0x180019772,,library,38,79,0,0.4615,0,callgraph
0x180014140,,plugin,146,166,0,0.4551,8,callgraph
0x180052a90,,library,60,72,0,0.4545,5,callgraph
0x180052bf0,,library,60,72,0,0.4545,5,callgraph
0x18004bb00,,library,39,23,0,0.4516,4,rtti
0x180052990,,library,60,73,0,0.4511,5,callgraph
0x180048910,,library,124,129,0,0.4427,0,rtti
0x180044e70,,plugin,120,125,0,0.4408,0,callgraph
0x18004b2e0,,library,149,181,0,0.4364,0,rtti
0x180049370,,library,115,120,0,0.4340,0,rtti
0x180021a20,,plugin,127,147,0,0.4307,7,callgraph
0x18004af60,,library,85,41,0,0.4286,7,rtti
0x18004a450,,library,119,152,0,0.4280,0,rtti
0x18000e310,,plugin,165,138,0,0.4224,7,callgraph
0x18004a170,,library,118,151,0,0.4164,0,rtti
0x18004a5d0,,library,120,151,0,0.4133,0,rtti
0x180028190,"void __cdecl `anonymous-namespace'::InvokeOn(unsigned __int64,const struct std::atomic<bool> &,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &)",plugin,62,59,0,0.4132,0,string
0x180045230,,plugin,315,344,0,0.4127,0,callgraph
0x180049080,,library,95,114,0,0.4115,0,rtti
0x1800382e0,"class SKSE::MessagingInterface *__cdecl SKSE::detail::QueryInterface<class SKSE::MessagingInterface>(const class SKSE::LoadInterface *,unsigned int)",library,371,456,0,0.4111,0,name
0x180049aa0,,library,211,159,0,0.4108,0,rtti
0x18004b640,,library,120,164,0,0.4085,0,rtti
0x18004b7f0,,library,120,164,0,0.4085,0,rtti
0x180039600,,library,53,45,0,0.4082,1,rtti
0x18004a2f0,,library,110,141,0,0.4064,0,rtti
0x18001b960,,library,156,166,0,0.4037,1,callgraph
0x180052840,,library,60,74,0,0.4030,3,callgraph
0x180049ef0,,library,90,125,0,0.3907,0,rtti
0x18003b200,,library,622,661,0,0.3819,8,callgraph
0x180027d20,,plugin,274,357,0,0.3803,0,string
0x18003c230,,library,497,517,0,0.3728,8,callgraph
0x18004a7b0,,library,92,128,0,0.3727,0,rtti
0x18003e570,,library,40,14,0,0.3704,1,callgraph
0x180047890,,plugin,201,216,0,0.3693,0,callgraph
0x18001f5b0,auto __cdecl `anonymous-namespace'::CreateViews::<lambda_1>::operator ()(unsigned __int64) const,plugin,41,24,0,0.3692,0,alias
0x18003a260,,library,40,25,0,0.3692,0,rtti
0x18003bb10,,library,496,520,0,0.3642,0,callgraph
0x18003cb95,,library,106,180,0,0.3636,0,callgraph
0x18001f3c0,"enum RE::BSEventNotifyControl __cdecl `anonymous-namespace'::MenuVisibilitySink::ProcessEvent(const class RE::MenuOpenCloseEvent *,class RE::BSTEventSource<class RE::MenuOpenCloseEvent> *)",plugin,108,60,0,0.3571,1,alias
0x180045040,,plugin,124,125,0,0.3534,1,callgraph
0x18004b970,,library,132,176,0,0.3506,0,rtti
0x18001b610,,library,21,19,0,0.3500,0,rtti
0x18001b660,,library,21,19,0,0.3500,0,rtti
0x18001b8b0,,library,21,19,0,0.3500,0,rtti
0x18004ae40,,library,97,131,0,0.3421,0,rtti
0x18004e1c0,,plugin,197,277,0,0.3418,4,string
0x180008ab0,,library,292,131,0,0.3357,0,callgraph
0x18003a000,,library,64,99,0,0.3313,1,callgraph
0x180048740,,library,81,116,0,0.3249,0,rtti
0x18004db10,,plugin,92,87,0,0.3240,0,callgraph
0x18001f770,"void __cdecl `anonymous-namespace'::SetCollapsed(bool,const char *)",plugin,70,54,0,0.3226,1,string
0x180048ad0,,library,80,115,0,0.3179,0,rtti
0x18004ad20,,library,80,115,0,0.3179,0,rtti
0x180048c10,,library,86,122,0,0.3173,0,rtti
0x18002a000,"void __cdecl `anonymous-namespace'::Papyrus_CatalogBegin(struct RE::StaticFunctionTag *,int)",plugin,132,128,0,0.3154,0,alias
0x18004bdd0,,library,97,132,0,0.3144,0,rtti
0x1800458c0,,plugin,31,33,0,0.3125,1,callgraph
0x180017ca0,,library,111,120,0,0.3117,1,callgraph
0x180026a80,,plugin,555,468,0,0.3069,9,rtti
0x18004c400,,library,557,203,0,0.3053,0,rtti
0x180029120,"void __cdecl `anonymous-namespace'::OnConsoleMessage(unsigned __int64,enum PRISMA_UI_API::ConsoleMessageLevel,const char *)",plugin,48,31,0,0.3038,0,name
0x18001ea90,,plugin,10,37,0,0.2979,0,callgraph
0x18002df30,,plugin,48,46,0,0.2979,0,callgraph
0x18001b310,,plugin,12,42,0,0.2963,0,callgraph
0x18004abf0,,library,74,109,0,0.2951,0,rtti
0x18004a070,,library,17,17,0,0.2941,0,rtti
0x180013290,void __cdecl FocusRecovery::Cancel(void),plugin,52,44,0,0.2917,2,name
0x1800161ec,,library,82,194,0,0.2899,0,callgraph
0x180048e30,,library,76,111,0,0.2888,0,rtti
0x1800491c0,,library,73,108,0,0.2873,0,rtti
0x180024e20,,library,175,175,0,0.2857,0,callgraph
0x180050363,,plugin,30,6,0,0.2778,0,rtti
0x18000d8a0,,plugin,155,70,0,0.2756,0,callgraph
0x180025fc0,void __cdecl `anonymous-namespace'::ApplyConsoleVisibility(bool),plugin,126,99,0,0.2756,2,name
0x18004a900,,library,77,112,0,0.2751,0,rtti
0x180049510,,library,74,109,0,0.2732,0,rtti
0x18004aa00,,library,74,109,0,0.2732,0,rtti
0x18000fed0,,plugin,9,35,0,0.2727,0,callgraph
0x18002e0a0,,library,51,52,0,0.2718,0,callgraph
0x18003a9e0,,plugin,17,20,0,0.2703,1,callgraph
0x18004ab20,,library,68,96,0,0.2683,0,rtti
0x180048d30,,library,73,108,0,0.2652,0,rtti
0x180048f20,,library,73,108,0,0.2652,0,rtti
0x180049db0,,library,73,108,0,0.2652,0,rtti
0x180037640,,plugin,88,48,0,0.2647,0,callgraph
0x18003a180,,library,46,45,0,0.2637,0,callgraph
0x1800484d0,,library,82,116,0,0.2626,0,rtti
0x180048610,,library,82,116,0,0.2626,0,rtti
0x180049630,,library,82,116,0,0.2626,0,rtti
0x180049770,,library,82,116,0,0.2626,0,rtti
0x18004b500,,library,82,116,0,0.2626,0,rtti
0x18004bf10,,library,74,109,0,0.2623,0,rtti
0x18002d170,,library,94,112,0,0.2621,0,string
0x1800149a0,,plugin,29,109,0,0.2609,0,callgraph
0x1800396c0,,library,17,52,0,0.2609,0,rtti
0x18002e250,bool __cdecl SKSEPlugin_Load(const class SKSE::LoadInterface *),plugin,52,135,0,0.2567,1,name
0x18002ae90,"void __cdecl `anonymous-namespace'::Papyrus_PublishSceneState(struct RE::StaticFunctionTag *,int,bool,int,int,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,int,int,bool,bool,bool,float,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<ch",plugin,811,733,0,0.2552,0,alias
0x180049870,,library,149,63,0,0.2453,0,rtti
0x18004de30,,library,42,32,0,0.2432,1,callgraph
0x180014f30,,library,182,153,0,0.2388,0,rtti
0x1800292ca,void __cdecl `anonymous-namespace'::CreateViews(void),plugin,142,104,0,0.2358,0,string
0x18004d240,,library,109,79,0,0.2340,0,string
0x18001d510,,library,22,21,0,0.2326,0,rtti
0x18002a410,"void __cdecl `anonymous-namespace'::Papyrus_CatalogPackage(struct RE::StaticFunctionTag *,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >)",plugin,168,128,0,0.2297,0,alias
0x180044650,,library,34,128,0,0.2222,0,callgraph
0x18004c150,,library,162,148,0,0.2194,0,rtti
0x18000f650,,plugin,47,91,0,0.2029,0,callgraph
