address,name,insn,file,status,total_lines
0x18002d170,JsCatalogReset,0,0x18002d170_JsCatalogReset.c,clean,72
0x18002d340,JsCatalogDone,0,0x18002d340_JsCatalogDone.c,clean,53
0x18002e340,VersionPacker,0,0x18002e340_VersionPacker.c,clean,16
0x180016d20,CallCloseOwnedConsole,0,0x180016d20_CallCloseOwnedConsole.c,clean,23
0x180016c00,ThunkFinalize,0,0x180016c00_ThunkFinalize.c,clean,10
0x18002cfc0,ThunkRequestSearch,0,0x18002cfc0_ThunkRequestSearch.c,clean,10
0x18002d4a0,ThunkRequestSearch2,0,0x18002d4a0_ThunkRequestSearch2.c,clean,9
0x18002d4d0,ThunkApplyPresentation,0,0x18002d4d0_ThunkApplyPresentation.c,clean,211
0x18002d4e0,ThunkRequestSearch3,0,0x18002d4e0_ThunkRequestSearch3.c,clean,10
